text,label
Tôi đạt điểm tuyệt đối bài kiểm tra Toán!,Positive
Hiểu bài giảng hôm nay một cách dễ dàng.,Positive
Làm xong hết bài tập về nhà sớm.,Positive
Cô giáo khen tôi tiến bộ.,Positive
"Nhóm làm việc rất hiệu quả, ai cũng đóng góp.",Positive
Cuối cùng cũng giải được bài toán khó.,Positive
Thuyết trình thành công tốt đẹp.,Positive
Bạn cùng bàn giảng lại bài rất dễ hiểu.,Positive
Cảm thấy tự tin trước kỳ thi sắp tới.,Positive
Nhận được học bổng khuyến khích học tập.,Positive
Tìm được tài liệu tham khảo rất hay.,Positive
Giờ học Lịch sử hôm nay thú vị quá.,Positive
Hoàn thành xuất sắc bài luận văn.,Positive
Được cộng điểm vì tích cực phát biểu.,Positive
Không khí lớp học rất sôi nổi.,Positive
"Qua môn rồi, nhẹ cả người!",Positive
"Ôn tập hiệu quả, nhớ được nhiều kiến thức.",Positive
Thầy giáo giải đáp thắc mắc rất tận tình.,Positive
Đề thi giữa kỳ vừa sức.,Positive
Cảm thấy yêu thích môn học này hơn.,Positive
Bị điểm kém bài kiểm tra Văn.,Negative
Không hiểu gì cả trong giờ học hôm nay.,Negative
"Quá nhiều bài tập, không làm kịp.",Negative
Thầy giáo phê bình vì không tập trung.,Negative
"Nhóm làm việc không hiệu quả, cãi nhau suốt.",Negative
"Bài toán này khó quá, nghĩ mãi không ra.",Negative
"Thuyết trình không tốt, bị run.",Negative
Hỏi bài mà bạn không chỉ.,Negative
Cảm thấy lo lắng trước kỳ thi.,Negative
"Trượt môn, phải học lại.",Negative
"Tài liệu khó tìm, không đủ thông tin.",Negative
Giờ học buồn ngủ quá.,Negative
Bài luận viết mãi không xong.,Negative
Bị trừ điểm vì nói chuyện riêng.,Negative
Không khí lớp học căng thẳng.,Negative
Sợ không qua được môn này.,Negative
"Ôn tập không hiệu quả, quên hết kiến thức.",Negative
"Thầy giáo giảng nhanh quá, không theo kịp.",Negative
"Đề thi quá khó, ngoài sức tưởng tượng.",Negative
Cảm thấy chán nản với môn học này.,Negative
Hôm nay có tiết Lịch sử.,Neutral
Đang ghi chép bài giảng.,Neutral
Cần đọc chương 3 sách giáo khoa.,Neutral
Giáo viên đang điểm danh.,Neutral
Nhóm sẽ họp vào chiều mai.,Neutral
Đây là công thức cần nhớ.,Neutral
Buổi thuyết trình diễn ra vào tuần sau.,Neutral
Bạn cùng bàn tên là An.,Neutral
Lịch thi đã được công bố.,Neutral
Hạn nộp bài tập là thứ Sáu.,Neutral
Cần tìm thêm thông tin cho bài luận.,Neutral
Giờ học bắt đầu lúc 7 giờ sáng.,Neutral
Bài luận yêu cầu tối thiểu 1000 từ.,Neutral
